H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
3.65529 2.31871 2.02878 1.60438 1.35944 2.62812 0.846202 -0.298225 2.46207 1.41968
3.58121 2.2793 1.4388 1.33961 1.49212 2.02951 0.918626 -0.131808 2.66705 1.44909
3.06778 2.36932 0.965769 0.198839 0.831872 1.52407 0.0785139 0.0531523 1.73997 0.665919
3.75096 2.76657 2.28272 2.20781 2.24052 3.71978 4.54806 3.25378 2.95367 2.47162
4.4626 3.07988 2.65589 2.32346 2.16321 3.98464 3.2187 2.05237 3.20232 2.04454
3.37517 2.05267 1.62322 1.209 1.22048 2.57919 1.04404 0.0702113 2.22318 1.11856
3.59489 2.20944 2.16189 1.5186 1.40701 2.7052 1.296 -0.0654972 2.65559 1.39662
4.28452 2.76169 2.17373 2.0477 1.72303 3.15293 2.21973 0.963251 3.51827 2.58908
3.2492 1.98911 1.52742 1.24654 1.09285 2.42195 1.12274 -0.290394 2.13938 0.92597
3.22534 1.95551 1.55875 1.00468 1.0031 2.89627 1.19935 0.10751 1.71687 0.893525
4.34889 2.77712 2.72732 2.2608 1.75942 3.70292 2.703 1.59052 3.10587 1.89291
2.24698 0.813084 0.0980023 -0.390192 0.506363 1.8163 0.0626583 -0.833757 1.63916 0.702607
3.04717 1.67098 1.01555 0.0514127 0.883261 1.45287 -0.282262 0.378667 1.8084 0.520182
1.50974 0.360903 -0.00311382 -0.141648 -0.491691 1.59636 -0.52201 -0.847164 0.969754 0.130765
2.26077 1.09602 0.195257 0.271625 0.72437 1.81848 0.978316 -0.497716 1.44115 0.302953
3.29307 1.94163 1.41547 1.19703 1.35153 2.70284 1.00837 -0.243823 2.10083 0.961009
3.53608 2.06882 1.61057 1.31189 1.07561 2.21869 0.707583 -0.229336 2.21455 1.41045
2.88074 1.84794 1.37194 1.29609 1.115 2.28617 0.801739 -1.85124 1.91165 0.863033
3.73593 2.44942 2.01233 1.57599 1.46572 2.60193 0.759747 -0.309493 2.60895 1.46197
3.38437 2.0612 1.86955 1.41888 1.30646 3.01963 1.14241 -0.26334 1.97388 1.02111
4.03181 2.61059 2.30433 1.77987 1.63524 3.09304 1.89267 0.392755 2.93712 1.825
2.98802 1.72946 1.09116 0.596009 1.22776 2.00919 -0.0380651 -0.843406 1.99715 0.787901
3.96549 2.53513 2.25087 1.8587 1.4644 3.10861 2.38563 1.24168 3.31617 2.06372
3.87876 2.5154 2.19959 1.83565 1.77994 3.19922 1.43975 0.195213 2.64312 1.45243
3.698 2.34011 1.84039 1.53549 1.32497 2.426 0.634586 -1.47129 2.52762 1.33744
3.75094 2.31327 1.94776 1.50445 1.47968 2.52012 1.10755 -0.0396554 2.66602 1.31137
2.08735 2.10011 -0.256107 -0.24716 -0.0206626 1.86625 0.509453 -0.640724 1.442 0.363018
2.67091 1.26156 0.607688 -0.0398479 0.891323 1.50013 -0.422799 -1.14316 1.45233 0.479813
1.64312 0.831633 0.743093 0.497479 0.188766 2.05684 2.78915 1.52778 1.71132 0.419599
4.41093 2.95848 2.89741 2.80083 1.95505 4.05881 3.40492 2.18428 2.9644 2.51889
4.23829 2.92018 2.54204 2.32422 2.00066 3.96769 4.22929 3.05003 3.19945 2.15562
3.048 1.72106 1.40955 0.718134 0.532268 2.32469 0.654724 -0.343906 1.9159 0.74507
3.62788 2.30463 1.92953 1.61389 1.72042 2.59573 0.945995 -0.0323789 2.34779 1.3618
2.75715 1.25242 1.21518 0.820493 1.39518 2.13204 0.374102 -1.0414 1.70904 0.417101
4.15693 2.55983 2.43151 2.07805 1.66065 3.62413 2.62473 1.40755 2.30882 1.02341
3.78135 2.38243 1.83593 1.44471 1.71066 2.50202 0.64982 -0.699667 2.87183 1.74101
4.0249 2.56466 1.78079 1.76314 1.65487 2.92268 2.82131 1.13275 3.31505 2.7371
4.14931 2.77751 2.27055 1.85688 1.82731 3.50446 2.37258 1.17983 2.78776 1.57879
2.67671 1.50954 1.28633 1.23259 0.657131 2.85053 1.69536 0.110635 2.3676 1.1013
3.3364 1.89223 1.50189 0.920627 0.946527 2.32975 1.29035 -0.426085 2.19064 1.25871
2.63618 1.66405 0.703085 0.720239 1.17723 1.73507 -0.0744672 0.927736 1.47273 0.465288
3.55403 2.26346 2.04028 1.63132 1.80294 3.03775 1.88623 0.533425 2.00645 1.24728
5.08133 3.60725 3.21643 2.88841 2.75384 4.37493 4.3139 3.15103 3.26161 2.33348
3.89543 2.63508 2.24932 1.83782 1.75564 3.32725 2.35869 1.18934 2.74966 1.71182
3.4222 2.14022 1.60643 1.14174 1.23601 2.18249 0.464902 -0.870074 2.28841 1.10552
-0.33718 -0.428161 -0.605489 -0.43701 -1.51883 1.23513 -0.0877255 -1.44181 0.0317477 -0.512841
1.29738 0.114439 0.657017 -0.264026 -0.0287526 1.6112 0.604998 -0.253836 1.17229 -0.376787
4.42692 2.92062 2.44171 2.0856 1.89059 3.82281 3.46037 2.29203 2.60099 1.48432
4.29443 2.74382 2.39972 2.10738 1.62164 3.17938 2.07214 0.979136 3.31152 2.37726
5.18046 3.68695 2.97193 2.79175 2.82138 4.64966 5.00076 3.83043 2.87172 1.80754
2.81145 1.6794 1.07505 0.558434 0.924313 2.579 0.725837 -0.431238 1.79264 0.574162
1.8033 0.862111 0.454372 0.647719 -0.212645 2.55779 0.892942 -0.707169 1.13249 -0.010093
3.82823 2.48676 1.63648 1.50343 1.6579 2.58122 1.34184 0.228481 2.7898 1.55806
3.1634 1.97845 1.52315 1.03498 0.969688 1.99746 0.236389 -1.16846 2.02434 0.899617
3.73562 2.42021 2.01296 1.70461 1.8427 3.56296 2.28093 1.17213 2.07177 0.987931
3.30467 1.99513 1.13044 1.06962 1.10102 2.21287 0.30012 -1.03642 1.98367 0.938824
3.79656 2.56964 2.3341 1.77279 1.70762 3.34707 2.06792 0.857511 2.39682 1.27765
-0.385637 -0.333812 -1.67949 -0.51462 -1.19155 1.08367 0.353738 -2.39878 -0.16577 -1.00247
4.34351 2.87741 2.56497 2.26751 1.76381 3.31801 1.88761 0.697327 3.45484 2.32983
3.45696 2.07486 1.49247 1.24632 1.16939 2.20266 1.07777 0.1916 2.58417 1.49815
1.68934 0.293139 0.311446 0.191874 -0.12421 1.53512 1.92215 0.566491 1.52046 -0.132107
3.63073 2.30975 1.46658 1.31768 1.36463 2.05507 0.23428 -0.252664 2.60638 1.53423
2.06025 0.824885 0.59578 -0.0139983 0.270832 2.45568 0.527047 0.135383 1.04197 -0.169881
3.63204 2.11405 1.34334 0.970541 1.04831 2.34831 0.798238 -0.0307175 2.49228 1.38204
2.70834 1.23693 0.996489 0.540557 0.602721 1.90656 0.979701 -0.348111 1.97265 0.550705
3.96056 2.50437 2.0102 1.83167 1.50993 2.62926 1.03283 -0.213681 3.07135 1.95849
3.25836 2.08105 1.34994 1.14334 1.05328 2.39063 0.874984 -0.359943 2.03803 0.514963
3.89128 2.95052 2.52269 2.22745 2.71893 3.86008 4.30076 3.14365 3.18383 2.57935
3.99585 2.53659 2.03874 1.71675 1.61963 2.59857 0.880096 -0.225368 2.87541 1.71643
3.51476 2.3331 1.81312 1.42564 1.40033 3.10486 1.35863 0.00267244 2.21243 1.15921
4.53639 3.13526 2.71982 2.41857 2.19095 3.94033 3.30163 2.17561 3.25256 2.12527
3.54427 2.16157 1.93627 1.71093 1.13547 2.90733 1.3956 -0.209223 2.68745 1.60387
4.24409 2.80033 2.15564 2.08767 1.7971 3.21512 2.20501 0.976821 3.46873 2.55732
2.29703 0.613373 0.239835 0.0877445 0.269134 1.68413 -0.000196476 -0.208478 1.27492 -1.33771
1.78751 0.940898 -0.432951 -0.0445891 0.411372 1.12813 -0.121525 -0.784645 0.843028 -0.266744
3.16365 1.84527 1.40821 1.33408 1.30619 2.67048 0.956271 -0.0718036 1.87592 0.546307
0.00396134 -0.812411 -0.480961 -0.858844 0.588602 1.02788 -0.318122 -1.82004 -0.335934 -1.94003
2.3661 1.26729 0.55633 0.347268 0.760396 1.81671 0.213919 -0.909307 1.38333 0.20186
3.24419 1.94822 1.54206 1.1546 0.957883 2.45084 1.2074 0.0136244 2.10925 1.02397
